zi,chaizi
剅,⿰豆刂
剆,⿰良刂
則,⿰貝刂
剈,⿰肙刂
剉,⿰坐刂
削,⿰肖刂
剋,⿺克刂
剌,⿰束刂
前,⿱䒑刖
剎,⿰杀刂
剏,⿰并刃
剐,⿰呙刂
剑,⿰佥刂
剒,⿰昔刂
剓,⿱𥝢刀
剔,⿰易刂
剕,⿰非刂
剖,⿰咅刂
剗,⿰戔刂
剘,⿰其刂
剙,⿰并刅
剚,⿰事刂
剛,⿰岡刂
剜,⿰宛刂
剝,⿰录刂
剞,⿰奇刂
剟,⿰叕刂
剠,⿰京刂
剡,⿰炎刂
剢,⿰豖刂
剣,⿰㑒刂
剤,⿰斉刂
剥,⿰录刂
剦,⿰奄刂
剧,⿰居刂
剨,⿰砉刂
剩,⿰乗刂
剪,⿱前刀
剫,⿰度刂
剬,⿰耑刂
剭,⿰屋刂
剮,⿰咼刂
副,⿰畐刂
剰,⿰乗刂
剱,⿰㑒刃
割,⿰害刂
剳,⿰荅刂
剴,⿰豈刂
創,⿰倉刂
剶,⿰彖刂
剷,⿰産刂
剸,⿰專刂
剹,⿰翏刂
剺,⿸𠩺刀
剻,⿰崩刂
剼,⿰參刂
剽,⿰票刂
剾,⿰區刂
剿,⿰巢刂
劀,⿰矞刂
劁,⿰焦刂
劂,⿰厥刂
劃,⿰畫刂
劄,⿰答刂
劅,⿰蜀刂
劆,⿰廉刂
劇,⿰豦刂
劈,⿱辟刀
劉,⿰𨥫刂
劊,⿰會刂
劋,⿰喿刂
劌,⿰歳刂
劍,⿰僉刂
劎,⿰僉刀
劏,⿰當刂
劐,⿰蒦刂
劑,⿰齊刂
劒,⿰僉刃
劓,⿰鼻刂
劔,⿰僉刃
劕,⿰質刂
劖,⿰毚刂
劗,⿰贊刂
劘,⿰靡刂
劙,⿰蠡刂
劚,⿰屬刂
力,⿻丿𠃌
劜,⿰力乚
劝,⿰又力
办,⿰⿹力丶丶
功,⿰工力
加,⿰力口
务,⿱夂力
劢,⿰万力
劣,⿱少力
劤,⿰斤力
劥,⿰亢力
劦,⿱力𠠴
劧,⿰手力
动,⿰云力
助,⿰且力
努,⿱奴力
劫,⿰去力
劬,⿰句力
劭,⿰召力
劮,⿰失力
劯,⿰石力
劰,⿰白力
励,⿰厉力
劲,⿰𢀖力
劳,⿱𫇦力
労,⿱𰃮力
劵,⿱龹力
劶,⿰后力
劷,⿰羊力
劸,⿰圭力
効,⿰交力
劺,⿰牟力
劻,⿰匡力
劼,⿰吉力
劽,⿱列力
劾,⿰亥力
势,⿱执力
勀,⿰克力
勁,⿰巠力
勂,⿰告力
勃,⿰孛力
勄,⿰每力
勅,⿰束力
勆,⿰良力
勇,⿱甬力
勈,⿰甬力
勉,⿺免力
勊,⿺克力
勋,⿰员力
勌,⿰卷力
勍,⿰京力
勎,⿰坴力
勏,⿰咅力
勐,⿰孟力
勑,⿰來力
勒,⿰革力
勓,⿰皆力
勔,⿰面力
動,⿰重力
勖,⿰冒力
勗,⿱日助
勘,⿰甚力
務,⿰矛务
勚,⿰贳力
勛,⿰員力
勜,⿰翁力
勝,⿰月劵
勞,⿱𤇾力
募,⿱莫力
勠,⿰翏力
勡,⿰票力
勢,⿱埶力
勣,⿰責力
勤,⿰堇力
勥,⿱强力
勦,⿰巢力
勧,⿰𮥶力
勨,⿰象力
勩,⿰貰力
勪,⿰喬力
勫,⿰番力
勬,⿰絭力
勭,⿰童力
勮,⿰豦力
勯,⿰亶力
勰,⿰劦思
勱,⿰萬力
勲,⿱動灬
勳,⿰熏力
勴,⿰慮力
勵,⿰厲力
勶,⿱徹力
勷,⿰襄力
勸,⿰雚力
勹,⿰丿𠃌
勺,⿹勹丶
勻,⿹勹二
勼,⿹勹九
勽,⿹勹人
勾,⿹勹厶
勿,⿹勹⿰丿丿
匀,⿹勹冫
匁,⿻⿹勹丿乀
匂,⿹勹匕
匃,⿹勹亾
匄,⿹勹亡
包,⿱勹巳
匆,⿹勹⿻⿰丿丿丶
匇,⿹勹夕
匈,⿹勹凶
匉,⿹勹平
